Author,Title,Epub.No
"Balagtas, Francisco, 1788-1862",Florante at Laura,15845
"Kant, Immanuel, 1724-1804",The Critique of Pure Reason,4280
"Christie, Agatha, 1890-1976",The murder of Roger Ackroyd,69087
"Voltaire, 1694-1778",Candide,19942
"Rizal, José, 1861-1896",The Social Cancer: A Complete English Version of Noli Me Tangere,6737
"Poe, Edgar Allan, 1809-1849",The Works of Edgar Allan Poe — Volume 2,2148
"Hall, J. R. Clark (John R. Clark), 1855-",A Concise Anglo-Saxon DictionaryFor the Use of Students,31543
"Defoe, Daniel, 1661?-1731",The Life and Adventures of Robinson Crusoe,521
"Marlowe, Christopher, 1564-1593",The Tragical History of Doctor FaustusFrom the Quarto of 1604,779
"Engels, Friedrich, 1820-1895",The Communist Manifesto,61
"Chopin, Kate, 1850-1904","The Awakening, and Selected Short Stories",160
"Malory, Thomas, Sir, -1471",Le Morte d'Arthur: Volume 1,1251
"Milton, John, 1608-1674",Paradise Lost,26
Arrian,"The Anabasis of Alexanderor, The History of the Wars and Conquests of Alexander the Great",46976
"Proust, Marcel, 1871-1922",Du côté de chez Swann,2650
"Aristotle, 385 BCE-323 BCE",The Ethics of Aristotle,8438
"Mill, John Stuart, 1806-1873",On Liberty,34901
"Locke, John, 1632-1704","An Essay Concerning Humane Understanding, Volume 1MDCXC, Based on the 2nd Edition, Books 1 and 2",10615
"Augustine, Saint, Bishop of Hippo, 354-430","The City of God, Volume I",45304
"Franklin, Benjamin, 1706-1790",Autobiography of Benjamin Franklin,20203
"London, Jack, 1876-1916",The call of the wild,215
"Strunk, William, 1869-1946",The Elements of Style,37134
"Synge, J. M. (John Millington), 1871-1909",Riders to the Sea,994
"Song, Shangjie, 1901-1944",灵历集光,25716
"Blake, William, 1757-1827",Songs of Innocence and of Experience,1934
"Thucydides, 456? BCE-396 BCE",The History of the Peloponnesian War,7142
"Hesse, Hermann, 1877-1962",Siddhartha,2500
"Stowe, Harriet Beecher, 1811-1896",Uncle Tom's Cabin,203
"Rand, Ayn, 1905-1982",Anthem,1250
"Shakespeare, William, 1564-1616",The TempestThe Works of William Shakespeare [Cambridge Edition] [9 vols.],23042
"Austen, Jane, 1775-1817",Northanger Abbey,121
"Sunzi, active 6th century B.C.",The Art of War,132
"Dickens, Charles, 1812-1870",Hard Times,786
"Verne, Jules, 1828-1905",Twenty Thousand Leagues under the Sea,164
"Thurston, Edgar, 1855-1935",Castes and Tribes of Southern India. Vol. 6 of 7,42996
"Dostoyevsky, Fyodor, 1821-1881",The Idiot,2638
"Burnett, Frances Hodgson, 1849-1924",The Secret Garden,17396
"Byron, George Gordon Byron, Baron, 1788-1824",Childe Harold's Pilgrimage,5131
"Kipling, Rudyard, 1865-1936",The Jungle Book,236
"Kafka, Franz, 1883-1924",The Trial,7849
"Jerome, Jerome K. (Jerome Klapka), 1859-1927",Three Men in a Boat (To Say Nothing of the Dog),308
"Pascal, Blaise, 1623-1662",Pascal's Pensées,18269
"Flaubert, Gustave, 1821-1880",Madame Bovary,2413
"James, Henry, 1843-1916",The Turn of the Screw,209
"Thoreau, Henry David, 1817-1862",On the Duty of Civil Disobedience,71
"Shakespeare, William, 1564-1616","Hamlet, Prince of Denmark",27761
"Tod, James, 1782-1835","Annals and Antiquities of Rajasthan, v. 1 of 3or the Central and Western Rajput States of India",57374
"Kafka, Franz, 1883-1924",Die Verwandlung,22367
"Spinoza, Benedictus de, 1632-1677",Ethics,3800
"Wilde, Oscar, 1854-1900","The Happy Prince, and Other Tales",902
"Hoffmann, Heinrich, 1809-1894",Struwwelpeter: Merry Stories and Funny Pictures,12116
"Dick, Philip K., 1928-1982",The Eyes Have It,31516
"Spenser, Edmund, 1552?-1599","Spenser's The Faerie Queene, Book I",15272
"Shakespeare, William, 1564-1616","Hamlet, Prince of Denmark",1524
"Rizal, José, 1861-1896",Mi Ultimo Adiós,18600
"Shakespeare, William, 1564-1616",A Midsummer Night's Dream,1514
"Gibbon, Edward, 1737-1794",History of the Decline and Fall of the Roman Empire — Volume 2,732
"Shakespeare, William, 1564-1616",Macbeth,1533
"Twain, Mark, 1835-1910",A Connecticut Yankee in King Arthur's Court,86
"Vonnegut, Kurt, 1922-2007",2 B R 0 2 B,21279
"Semple, Ellen Churchill, 1863-1932",Influences of Geographic EnvironmentOn the Basis of Ratzel's System of Anthropo-Geography,15293
"Nietzsche, Friedrich Wilhelm, 1844-1900","The Genealogy of MoralsThe Complete Works, Volume Thirteen, edited by Dr. Oscar Levy.",52319
"Twain, Mark, 1835-1910",The Prince and the Pauper,1837
"Sinclair, Upton, 1878-1968",The Jungle,140
"Milton, John, 1608-1674",El paraíso perdido,67092
"Ward, Grady, 1951-",Moby Word Lists,3201
"Dickens, Charles, 1812-1870",David Copperfield,766
"Bradley, A. C. (Andrew Cecil), 1851-1935","Shakespearean Tragedy: Lectures on Hamlet, Othello, King Lear, Macbeth",16966
"Darwin, Charles, 1809-1882","De afstamming van den mensch en de seksueele teeltkeus, deel 2 (van 2)",73246
"Ibsen, Henrik, 1828-1906",An Enemy of the People,2446
,"The Thousand and One Nights, Vol. I.Commonly Called the Arabian Nights' Entertainments",34206
"Byron, George Gordon Byron, Baron, 1788-1824",Don Juan,21700
"Bierce, Ambrose, 1842-1914?",An Occurrence at Owl Creek Bridge,375
"Tocqueville, Alexis de, 1805-1859",Democracy in America — Volume 1,815
